Barcode,Product Name,Purchased Price,Qty Available,Price
4800888605078,KNORR SINIGANG NA GABI 12/11G,7.104166667,12.0,9.0
4800888603692,KNORR SIN.SAMPALOK MIX ORIG 12/11G,7.1,12.0,9.0
4800888602732,KNORR CUBES BEEF 12/10G,6.0,12.0,9.0
4800888602725,KNORR CUBES PORK SINGLES 12/10G,6.0,12.0,9.0
4800888602718,KNORR CUBES CHICKEN 12/10G,6.0,12.0,9.0
4801958342008,AJI UMAMI SEASONING YELLOW 8/24G,6.1125,16.0,9.0
4801958341100,AJI UMAMI SEASONING BLUE 18/11G,3.402777778,18.0,5.0
4800016604232,NOVA HOMESTYLE BBQ 78G,33.5,3.0,38.0
4800016663505,NOVA COUNTRY CHEDDAR 78G,33.5,3.0,38.0
4800092113321,REB. HANSEL BUTTER SAND. 10,5.43,10.0,8.0
4800092113253,REB. CHOCO SANDWICH 10,5.46,10.0,8.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800092113314,REB. HANSEL MILK SANDWICH 10,5.43,10.0,8.0
4800365101017,SUPER CRUNCH CORN CHIPS GREEN 12,0.975,24.0,1.25
4800365101208,SUPER CRUNCH CORN C. SWEET CORN 55G,9.0,10.0,12.0
4806018403477,REB. TOPPS SARAP CHOCO 10/34G,7.3,10.0,10.0
750515017429,MY SAN FITA CRACKERS 10/30G,5.475,10.0,8.0
750515018402,MY SAN SKY FLAKES 10/25G,5.225,10.0,8.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800010064360,HELLO CHOCO WAFER VANILLA 10/15G,5.115,10.0,8.0
4800092552779,REB. DOOWEE DONUTS WHITE CHOCO 10/40G,9.8,10.0,12.0
4800092553226,REB. FUDGEE BARR DARK CHOCO 10,7.55,10.0,10.0
4800092551383,REB. FUDGEE BARR MOCHA 10/42G NBC,7.55,10.0,10.0
4807770101540,NISSIN BINGO CHOCO VANILLA 10/28G+LM CHICKEN 55G FREE,5.725,10.0,8.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800194117463,OISHI PILLOWS CHOCO 10/24G,6.5,10.0,10.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4808680652757,BF MAYO MAGIC 80ML,23.75,2.0,28.0
4808680027159,BF MAYO MAGIC 220ML DOY PACK,66.0,2.0,77.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800016671807,PIATTOS SOUR CREAM 40G,15.6,3.0,17.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800194116619,OISHI FISH CRACKERS CURLS 24G,6.7,5.0,8.0
4800194152839,OISHI MARTY'S CRACKLING CHICKEN INASAL 22G,6.7,3.0,8.0
4800194116084,OISHI CRACKLING SALT&VINEGAR CURLS 24G,6.7,5.0,8.0
4800523220116,RICHEE MILK 25G,7.7,3.0,9.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800194152907,OISHI MARTY'S CRACKLIN' SALT & VINEGAR 22G,6.7,3.0,8.0
4800016641503,CHIPPY CHILI&CHIZ BLUE 110G ,23.4,3.0,28.0
4800016653094,MR CHIPS NACHO CHIZ 100G,22.1,3.0,28.0
4800092771118,FUNKY FRENCH FRIES CLASSIC POTATO 25G,5.7,3.0,8.0
4891208040167,OISHI KIRIE YUMMY FLAKES CURLS,6.7,3.0,8.0
4800523220376,PEE WEE PIZZA 25G,7.7,3.0,9.0
6921660700014,VERMICELLLI SOTANGHON 45G (1.6oz),8.0,6.0,12.0
6921660700021,VERMICELLLI SOTANGHON 100G (3.2oz),14.5,3.0,20.0
4800888607119,LC CHICKEN SPREAD 6/27ML,11.35,1.0,16.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800888260987,LC HAM SPREAD 6/27ML,11.35,1.0,16.0
4800888607096,LC BACON SPREAD 6/27ML,11.35,1.0,16.0
4801668607329,MAFRAN ALL-PURPOSE DRESSING WHITE 200G,16.3,2.0,21.0
4801668606865,MAFRAN ALL-PURPOSE DRESSING PINK 200G,16.3,2.0,21.0
4902430453295,DOWNY F.C GARDEN BLOOM 6/24ML,5.7,12.0,8.0
4902430729925,DOWNY F.C MYSTIQUE 6/20ML,5.7,12.0,8.0
4902430729901,DOWNY F.C PASSION 6/20ML,5.7,12.0,8.0
4902430401845,DOWNY F.C SUNRISE FRESH 6/24ML,5.7,12.0,8.0
4806515161504,KERATIN PLUS BLACK 6/20G,5.875,12.0,10.0
4806515161580,KERATIN PLUS LUX BRAZILLIAN H. TRTMNT 6/20G,5.875,12.0,10.0
4902430951357,SAFEGUARD BATH SOAP PINK 6+1F/60G,19.0,6.0,22.0
4902430945554,SAFEGUARD BATH SOAP WHITE 60G,19.0,6.0,22.0
4800011795331,BIODERM BATH SOAP WHITE PRISTINE 60G,14.8,3.0,20.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
8998866606851,WINGS SOLVE POWDER FLORAL FRESH 6/60G,5.9,6.0,8.0
8998866801614,WINGS SOLVE POWDER CALAMANSI 6/65G,5.9,6.0,8.0
4800888151841,SURF POWDER SUN FRESH 6/65G,6.4,6.0,8.0
4800047841040,DEL FABRIC SOFTENER PINK 6/22ML,4.0,12.0,7.0
4800047841378,DEL FABRIC SOFT. LAVENDER BREEZE 6/22ML,4.0,12.0,7.0
4800888221049,SURF POWDER ROSE FRESH 6+1F/50G,6.4,6.0,8.0
4800888221056,SURF POWDER FC CHERRY BLOSSOM 6+1F/75G,6.4,6.0,8.0
8850006325223,COLGATE TP FC SPICY FRESH RED 6/20G TWIN PK,8.3,12.0,12.0
4800047847356,DEL FAB. SOFTENER GENTLE PROTECH 6/26ML,5.1,12.0,8.0
